content;category
"I Amp Currently studying for tomorrow's test on electricity.";PHYSICS
"Circular motion is a tough unit, I'm not getting anywhere even after 3 hours of studying.";PHYSICS
"I tried teaching my brother fractions today, he couldn't understand Half of what I was saying";MATH
"I can't teach him Calculus yet, he has his Limits.";MATH
"What do you call a good program? An .execellent program.";COMP-SCI
"Take Note of the accidentals in this section, it's quite tricky.";MUSIC
"Teach me trig, sin[π]!";MATH
"I have Terable news, my computer Ram out of memory.";COMP-SCI
"The chem test was brutal. The teacher showed absolutely no Enthalpy.";CHEMISTRY
"Your balance has been Reduced due to the Charges placed on your account.";CHEMISTRY
"There are a Variety of theories on Meiosis.";BIOLOGY
"You took Olive my good jokes about Vegetables!";OTHER
"Too much programming has made me C-sick.";COMP-SCI
"Being a neutrino is tough, they go through so much in life.";PHYSICS
"How does data move around in a computer? With the Universal Serial Bus.";COMP-SCI
"If you work with a partner in biology class, don't they become your Life partner?";BIOLOGY
"Sometimes I just don't know what I'm thinking, my head has a mind of its own...";OTHER
"What does a percussionist on drugs say? Where did my Bongo?";MUSIC
"If you run out of oxygen while scuba diving, you're in Deep trouble";OTHER
"I had a test on explosive chemicals today, Bombed it";CHEMISTRY
"I love kinematics graphs, I'm really good a-t them.";PHYSICS
"My chem teacher want me to make a molecular model, But I don't have the Balls to do it.";CHEMISTRY
"I want to drop my assignment on the ground so gravity can so do some of the Work for me.";PHYSICS
"I hate decimals, they just don't Float my boat.";COMP-SCI
"If you can't play in the band, then Rest in Piece to you.";MUSIC
"Study vectors hard, or you will lose your sense of Direction.";MATH
"How many questions did you get on the geography test for Canada? I got Nunavut.";GEO
"If I make physics jokes would you understand the Reference?";PHYSICS
"How do chemists see in the dark? With Electro-lights.";CHEMISTRY
"Your music jokes are terrible, get Bach to me once you come up with something good.";MUSIC
"Did you like the lesson on Fungi? I'm Lichen it so far.";BIOLOGY
"We had a geometry test today, everybody got Rect.";MATH
"Your jokes are trash, Litterally.";OTHER
"I was wondering how springs work, then it Hit me.";PHYSICS
"Not trying to be Mean but you are just an Average student.";MATH
"We are supposed to know the properties of springs but all people think about is summer.";PHYSICS
"Your bad trig jokes are really getting Repetitive.";MATH
"I need to do well in trig to show my teacher that I am a Radian-t student.";MATH
"On Halloween, everyone in my math class yelled 'Trig or Treat!'";MATH
"Just put it on the ground, let µ do all the work.";PHYSICS
"I bombed my vectors test, but my mark still went up... by -5%.";MATH
"You guys can't be in my team, you're Allies.";OTHER
"What's a percussionist's favourite mathematical function? LogaRythms";MUSIC/MATH
"I don't like guitar players, they are always so Picky.";MUSIC
"You're playing too loud! No, I'm playing Piano.";MUSIC
"What do you call the act of stealing saxophones? Grand theft Alto.";MUSIC
"Help me make a nuclear reactor. Sorry, no CANDU.";PHYSICS
"We learned about Cellular respiration today, I didn't know my phone needed to breathe...";BIOLOGY
"What do you call an identity that can't be solved? A Tricknometric identity.";MATH
"Trudeau is such a player, he has so many people in his Cabinet.";OTHER
"How do ducks solve math problems? Using the Quackdratic formula.";MATH
"What's the difference between a student and a camera? A camera can Focus.";OTHER
"How do ducks hack computers? They Quack the code.";COMP-SCI
"Sushi is very SuFishticated.";OTHER
"I was trying to teach my brother Trigonometric graphs but he Phased out on me.";MATH
"We finally started learning Special Relativity, it's about Time!";PHYSICS
"Why do you hate using Straws? Because they Suck.";OTHER
"How were the Lamb chops? Meh.";Other
"I like Linear systems, they are very Straight forward.";MATH
"When two good math students work together, they become 2good.";MATH
"What's an elephant's favourite instrument? A Trunkpet.";MUSIC
"Why are drummers always the ones that keep time? Because they are UnBeatable.";MUSIC
"What do you call a snail in space? A Gastronaut.";BIOLOGY
"What do you call a snail not in space? A GastroNOT.";BIOLOGY
"What does the Fox say? I don't care, no Fox given.";OTHER
"People who like Sushi tend to get high because they often Seaweed.";OTHER
"We're out of Beef, we are in a Steak of emergency!";OTHER
"Oil prices are Rigged.";OTHER
"If 420 is not high enough, try 420!";MATH
"I love trigonometry, it feels like Secant nature to me.";MATH
